CommonName,Easting,Northing,SP_GEOMETRY
Holly Blue,461500,163500,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
Holly Blue,463500,174000,System.__ComObject
Holly Blue,485160,180050,System.__ComObject
Holly Blue,481270,182190,System.__ComObject
Holly Blue,481240,182040,System.__ComObject
Holly Blue,481240,182040,System.__ComObject
Holly Blue,481270,182370,System.__ComObject
Holly Blue,481270,182370,System.__ComObject
Holly Blue,481240,181960,System.__ComObject
Holly Blue,481240,181960,System.__ComObject
Holly Blue,481240,181960,System.__ComObject
Holly Blue,481240,181960,System.__ComObject
Holly Blue,483840,163050,System.__ComObject
Holly Blue,453710,227390,System.__ComObject
Holly Blue,484500,162700,System.__ComObject
Holly Blue,484350,162410,System.__ComObject
Holly Blue,484350,162410,System.__ComObject
Holly Blue,484350,162410,System.__ComObject
Holly Blue,484060,162550,System.__ComObject
Holly Blue,484210,163010,System.__ComObject
Holly Blue,484210,163010,System.__ComObject
Holly Blue,484440,163070,System.__ComObject
Holly Blue,484440,163070,System.__ComObject
Holly Blue,484440,163070,System.__ComObject
Holly Blue,484440,163070,System.__ComObject
Holly Blue,484440,163070,System.__ComObject
Holly Blue,484650,163220,System.__ComObject
Holly Blue,484650,163220,System.__ComObject
Holly Blue,484650,163220,System.__ComObject
Holly Blue,484650,163220,System.__ComObject
Holly Blue,484760,162940,System.__ComObject
Holly Blue,484760,162940,System.__ComObject
Holly Blue,484760,162940,System.__ComObject
Holly Blue,484430,162980,System.__ComObject
Holly Blue,484430,162980,System.__ComObject
Holly Blue,484430,162980,System.__ComObject
Holly Blue,484430,162980,System.__ComObject
Holly Blue,484430,162980,System.__ComObject
Holly Blue,483910,162460,System.__ComObject
Holly Blue,483910,162460,System.__ComObject
Holly Blue,484200,162700,System.__ComObject
Holly Blue,484500,163600,System.__ComObject
Holly Blue,484500,162900,System.__ComObject
Holly Blue,481200,181900,System.__ComObject
Holly Blue,481200,181900,System.__ComObject
Holly Blue,481200,182000,System.__ComObject
Holly Blue,481200,182000,System.__ComObject
Holly Blue,481200,182000,System.__ComObject
Holly Blue,481200,182000,System.__ComObject
Holly Blue,484500,162900,System.__ComObject
Holly Blue,484100,162500,System.__ComObject
Holly Blue,484300,163300,System.__ComObject
Holly Blue,484400,162900,System.__ComObject
Holly Blue,484700,163300,System.__ComObject
Holly Blue,484300,163000,System.__ComObject
Holly Blue,481300,182200,System.__ComObject
Holly Blue,484200,162700,System.__ComObject
Holly Blue,484200,162700,System.__ComObject
Holly Blue,484200,162700,System.__ComObject
Holly Blue,484200,162700,System.__ComObject
Holly Blue,484200,162700,System.__ComObject
Holly Blue,484500,163000,System.__ComObject
Holly Blue,490600,178700,System.__ComObject
Holly Blue,484300,163300,System.__ComObject
Holly Blue,484400,162900,System.__ComObject
Holly Blue,485600,168200,System.__ComObject
Holly Blue,481300,182200,System.__ComObject
Holly Blue,494100,182000,System.__ComObject
Holly Blue,484200,162700,System.__ComObject
Holly Blue,484200,162700,System.__ComObject
Holly Blue,489300,173800,System.__ComObject
Holly Blue,484300,163300,System.__ComObject
Holly Blue,481200,182000,System.__ComObject
Holly Blue,484200,162800,System.__ComObject
Holly Blue,490300,178700,System.__ComObject
Holly Blue,484500,163000,System.__ComObject
Holly Blue,484400,162900,System.__ComObject
Holly Blue,484500,163000,System.__ComObject
Holly Blue,453780,227080,System.__ComObject
Holly Blue,489400,173600,System.__ComObject
Holly Blue,465790,220040,System.__ComObject
Holly Blue,453560,227250,System.__ComObject
Holly Blue,453560,227250,System.__ComObject
Holly Blue,453560,227250,System.__ComObject
Holly Blue,453560,227250,System.__ComObject
Holly Blue,435645,231377,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424690,220130,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,425290,220530,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,425290,220530,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,425290,220530,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,425290,220530,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,425290,220530,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,425290,220530,System.__ComObject
Holly Blue,425290,220530,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
