CommonName,RecYear,Easting,Northing,SP_GEOMETRY
Holly Blue,2001,424840,220500,System.__ComObject
Holly Blue,2002,424840,220500,System.__ComObject
Holly Blue,2002,424840,220500,System.__ComObject
Holly Blue,2010,435645,231377,System.__ComObject
Holly Blue,2010,435645,231377,System.__ComObject
Holly Blue,2005,425850,220870,System.__ComObject
Holly Blue,2007,425850,220870,System.__ComObject
Holly Blue,2007,425850,220870,System.__ComObject
Holly Blue,2007,425850,220870,System.__ComObject
Holly Blue,2005,424840,220500,System.__ComObject
Holly Blue,2005,424840,220500,System.__ComObject
Holly Blue,2007,424840,220500,System.__ComObject
Holly Blue,2008,455600,217800,System.__ComObject
Holly Blue,2002,453800,227100,System.__ComObject
Holly Blue,2002,435900,232100,System.__ComObject
Holly Blue,2002,435200,236100,System.__ComObject
Holly Blue,2002,435900,232100,System.__ComObject
Holly Blue,2002,435900,232100,System.__ComObject
Holly Blue,2007,442200,235500,System.__ComObject
Holly Blue,2002,425400,220600,System.__ComObject
Holly Blue,2002,435800,231700,System.__ComObject
Holly Blue,2009,488900,184300,System.__ComObject
Holly Blue,2012,481400,162300,System.__ComObject
Holly Blue,2012,481400,162300,System.__ComObject
Holly Blue,2013,481400,162300,System.__ComObject
Holly Blue,2002,467200,191500,System.__ComObject
Holly Blue,2002,437500,216000,System.__ComObject
Holly Blue,2001,434300,236150,System.__ComObject
Holly Blue,2004,455300,181600,System.__ComObject
Holly Blue,2004,456100,182100,System.__ComObject
Holly Blue,2005,435750,201300,System.__ComObject
Holly Blue,2005,435390,201240,System.__ComObject
Holly Blue,2005,436220,201430,System.__ComObject
Holly Blue,2005,436490,219460,System.__ComObject
Holly Blue,2005,459250,213930,System.__ComObject
Holly Blue,2005,435890,200720,System.__ComObject
Holly Blue,2005,435370,200460,System.__ComObject
Holly Blue,2005,435380,200450,System.__ComObject
Holly Blue,2005,462450,201120,System.__ComObject
Holly Blue,2004,435940,232100,System.__ComObject
Holly Blue,2004,435940,232100,System.__ComObject
Holly Blue,2004,476660,200380,System.__ComObject
Holly Blue,1991,439100,201600,System.__ComObject
Holly Blue,2001,438600,201700,System.__ComObject
Holly Blue,1992,438700,205000,System.__ComObject
Holly Blue,1980,457500,212800,System.__ComObject
Holly Blue,2001,454900,219000,System.__ComObject
Holly Blue,1984,459600,207700,System.__ComObject
Holly Blue,1984,460300,207800,System.__ComObject
Holly Blue,1996,470600,181700,System.__ComObject
Holly Blue,1996,469600,182500,System.__ComObject
Holly Blue,2001,452000,199500,System.__ComObject
Holly Blue,1991,439100,201500,System.__ComObject
Holly Blue,2004,459900,225200,System.__ComObject
Holly Blue,1985,467300,191200,System.__ComObject
Holly Blue,1985,456700,183600,System.__ComObject
Holly Blue,1990,451000,197100,System.__ComObject
Holly Blue,1991,438900,201900,System.__ComObject
Holly Blue,1991,438900,202200,System.__ComObject
Holly Blue,1991,439600,205200,System.__ComObject
Holly Blue,2004,462200,200800,System.__ComObject
Holly Blue,2001,456400,218600,System.__ComObject
Holly Blue,1998,455800,214600,System.__ComObject
Holly Blue,1996,443100,186800,System.__ComObject
Holly Blue,1998,458000,209500,System.__ComObject
Holly Blue,1992,442900,213500,System.__ComObject
Holly Blue,1979,456700,183600,System.__ComObject
Holly Blue,1976,456700,183600,System.__ComObject
Holly Blue,1991,465500,201700,System.__ComObject
Holly Blue,1985,459000,209000,System.__ComObject
Holly Blue,1990,439400,216500,System.__ComObject
Holly Blue,1990,439400,216500,System.__ComObject
Holly Blue,1990,439400,216500,System.__ComObject
Holly Blue,1991,439400,216500,System.__ComObject
Holly Blue,1992,439400,216500,System.__ComObject
Holly Blue,1996,439400,216500,System.__ComObject
Holly Blue,1997,439400,216500,System.__ComObject
Holly Blue,1998,439400,216500,System.__ComObject
Holly Blue,1991,433700,200800,System.__ComObject
Holly Blue,1990,454700,225000,System.__ComObject
Holly Blue,1962,472200,196200,System.__ComObject
Holly Blue,1960,472200,196200,System.__ComObject
Holly Blue,1997,437400,196300,System.__ComObject
Holly Blue,1985,460300,207800,System.__ComObject
Holly Blue,2003,457100,205900,System.__ComObject
Holly Blue,1984,476600,200700,System.__ComObject
Holly Blue,1997,454500,183600,System.__ComObject
Holly Blue,1976,445900,199600,System.__ComObject
Holly Blue,1899,439000,221000,System.__ComObject
Holly Blue,1979,447800,193500,System.__ComObject
Holly Blue,1979,446700,199500,System.__ComObject
Holly Blue,1976,446600,199700,System.__ComObject
Holly Blue,1976,446700,199500,System.__ComObject
Holly Blue,1985,440200,211800,System.__ComObject
Holly Blue,1985,440200,212700,System.__ComObject
Holly Blue,1985,439300,211500,System.__ComObject
Holly Blue,1985,439300,212400,System.__ComObject
Holly Blue,1984,448800,201800,System.__ComObject
Holly Blue,1976,461700,179400,System.__ComObject
Holly Blue,1970,448200,205600,System.__ComObject
Holly Blue,1980,438600,215300,System.__ComObject
Holly Blue,1981,436900,215000,System.__ComObject
Holly Blue,1990,458500,209800,System.__ComObject
Holly Blue,1991,458500,209800,System.__ComObject
Holly Blue,1992,458500,209800,System.__ComObject
Holly Blue,1997,458500,209800,System.__ComObject
Holly Blue,1998,458500,209800,System.__ComObject
Holly Blue,2001,458500,209800,System.__ComObject
Holly Blue,2004,440100,214300,System.__ComObject
Holly Blue,1980,440200,213600,System.__ComObject
Holly Blue,1991,434200,193500,System.__ComObject
Holly Blue,1981,465300,185700,System.__ComObject
Holly Blue,1985,460700,209000,System.__ComObject
Holly Blue,1962,460700,209000,System.__ComObject
Holly Blue,1985,470300,193700,System.__ComObject
Holly Blue,1985,470400,193600,System.__ComObject
Holly Blue,1959,470300,193700,System.__ComObject
Holly Blue,1981,446700,206800,System.__ComObject
Holly Blue,1985,448200,214200,System.__ComObject
Holly Blue,1959,447600,204200,System.__ComObject
Holly Blue,1960,458700,210200,System.__ComObject
Holly Blue,1960,456700,183600,System.__ComObject
Holly Blue,1992,439900,213500,System.__ComObject
Holly Blue,1992,463500,176900,System.__ComObject
Holly Blue,1991,429800,217500,System.__ComObject
Holly Blue,1991,424800,215000,System.__ComObject
Holly Blue,1989,452300,204900,System.__ComObject
Holly Blue,1981,456500,206200,System.__ComObject
Holly Blue,1981,456000,205400,System.__ComObject
Holly Blue,1998,431500,212500,System.__ComObject
Holly Blue,1998,437300,214700,System.__ComObject
Holly Blue,1996,432500,216400,System.__ComObject
Holly Blue,1998,433000,216400,System.__ComObject
Holly Blue,2004,433800,217000,System.__ComObject
Holly Blue,1998,434600,216700,System.__ComObject
Holly Blue,2002,454400,202300,System.__ComObject
Holly Blue,2004,438500,216100,System.__ComObject
Holly Blue,2002,438600,215900,System.__ComObject
Holly Blue,1977,425100,220400,System.__ComObject
Holly Blue,1983,436900,215000,System.__ComObject
Holly Blue,1985,457500,212800,System.__ComObject
Holly Blue,1990,476600,200700,System.__ComObject
Holly Blue,1985,439600,216600,System.__ComObject
Holly Blue,1985,443200,233000,System.__ComObject
Holly Blue,1985,439400,216500,System.__ComObject
