SP_GEOMETRY,CommonName,Easting,Northing,RecYear
System.__ComObject,Whitethroat,435994,200765,2007
System.__ComObject,Whitethroat,484701,162992,2007
System.__ComObject,Whitethroat,435994,200765,2007
System.__ComObject,Whitethroat,435376,200464,2007
System.__ComObject,Whitethroat,435628,201115,2007
System.__ComObject,Whitethroat,434849,200142,2007
System.__ComObject,Whitethroat,436244,201010,2007
System.__ComObject,Whitethroat,462141,201199,2007
System.__ComObject,Whitethroat,435387,201220,2007
System.__ComObject,Whitethroat,459918,185384,2007
System.__ComObject,Whitethroat,435830,200503,2007
System.__ComObject,Whitethroat,433677,168820,2007
System.__ComObject,Whitethroat,463684,220024,2007
System.__ComObject,Whitethroat,453782,227088,2007
System.__ComObject,Whitethroat,436669,200872,2007
System.__ComObject,Whitethroat,453713,227398,2007
System.__ComObject,Whitethroat,437051,164091,2007
System.__ComObject,Whitethroat,436244,201360,2007
System.__ComObject,Whitethroat,483863,162845,2007
System.__ComObject,Whitethroat,435999,201519,2007
System.__ComObject,Whitethroat,483984,162752,2007
System.__ComObject,Whitethroat,437051,164091,2007
System.__ComObject,Whitethroat,435999,201519,2007
System.__ComObject,Whitethroat,453569,227254,2007
System.__ComObject,Whitethroat,459247,214096,2007
System.__ComObject,Whitethroat,435340,200574,2007
System.__ComObject,Whitethroat,484385,162476,2007
System.__ComObject,Whitethroat,484701,162992,2007
System.__ComObject,Whitethroat,464053,219964,2007
System.__ComObject,Whitethroat,453817,227274,2007
System.__ComObject,Whitethroat,460532,214022,2007
System.__ComObject,Whitethroat,435340,200574,2007
System.__ComObject,Whitethroat,436108,200980,2007
System.__ComObject,Whitethroat,436543,201361,2007
System.__ComObject,Whitethroat,436543,201361,2007
System.__ComObject,Whitethroat,463684,220024,2007
System.__ComObject,Whitethroat,460297,185658,2007
System.__ComObject,Whitethroat,484834,162965,2007
System.__ComObject,Whitethroat,459019,214294,2007
System.__ComObject,Whitethroat,459247,214096,2007
System.__ComObject,Whitethroat,435147,199623,2007
System.__ComObject,Whitethroat,435857,200965,2007
System.__ComObject,Whitethroat,435857,200965,2007
System.__ComObject,Whitethroat,459966,214967,2007
System.__ComObject,Whitethroat,460054,214630,2007
System.__ComObject,Whitethroat,435018,200384,2007
System.__ComObject,Whitethroat,464182,219954,2007
System.__ComObject,Whitethroat,435876,200956,2007
System.__ComObject,Whitethroat,435994,200765,2007
System.__ComObject,Whitethroat,463883,219994,2007
System.__ComObject,Whitethroat,436392,201577,2007
System.__ComObject,Whitethroat,434849,200142,2007
System.__ComObject,Whitethroat,460097,185491,2007
System.__ComObject,Whitethroat,459918,185384,2007
System.__ComObject,Whitethroat,459736,185260,2007
System.__ComObject,Whitethroat,484790,163168,2007
System.__ComObject,Whitethroat,484264,163082,2007
System.__ComObject,Whitethroat,464182,219954,2007
System.__ComObject,Whitethroat,453569,227254,2007
System.__ComObject,Whitethroat,459966,214967,2007
System.__ComObject,Whitethroat,459966,214967,2007
System.__ComObject,Whitethroat,459966,214967,2007
System.__ComObject,Whitethroat,460532,214022,2007
System.__ComObject,Whitethroat,460156,214363,2007
System.__ComObject,Whitethroat,435999,201519,2007
System.__ComObject,Whitethroat,435147,199623,2007
System.__ComObject,Whitethroat,435521,200474,2007
System.__ComObject,Whitethroat,484626,163023,2007
System.__ComObject,Whitethroat,484414,163148,2007
System.__ComObject,Whitethroat,459736,185260,2007
System.__ComObject,Whitethroat,484385,162476,2007
System.__ComObject,Whitethroat,484485,162686,2007
System.__ComObject,Whitethroat,484701,162992,2007
System.__ComObject,Whitethroat,476650,200650,2002
